filename,success,timestamp
ipg160712.xml,1,2016-07-15 23:08:54.114666
ipg160705.xml,1,2016-07-15 23:11:05.946446
ipg160628.xml,1,2016-07-15 23:13:51.271022
ipg160621.xml,1,2016-07-15 23:16:11.201583
ipg160614.xml,1,2016-07-15 23:19:14.112197
ipg160607.xml,1,2016-07-15 23:22:38.238321
ipg160531.xml,1,2016-07-15 23:24:27.685682
ipg160524.xml,1,2016-07-15 23:25:29.232317
ipg160517.xml,1,2016-07-15 23:26:28.054419
ipg160510.xml,1,2016-07-15 23:27:45.745828
ipg160503.xml,1,2016-07-15 23:28:48.207655
ipg160426.xml,1,2016-07-15 23:29:51.532372
ipg160419.xml,1,2016-07-15 23:31:07.595596
ipg160412.xml,1,2016-07-15 23:32:10.346901
ipg160405.xml,1,2016-07-15 23:33:07.731515
ipg160329.xml,1,2016-07-15 23:34:08.696919
ipg160322.xml,1,2016-07-15 23:35:12.430423
ipg160315.xml,1,2016-07-15 23:36:13.187784
ipg160308.xml,1,2016-07-15 23:37:00.628470
ipg160301.xml,1,2016-07-15 23:38:02.687635
ipg160223.xml,1,2016-07-15 23:39:04.882016
ipg160216.xml,1,2016-07-15 23:40:07.340196
ipg160209.xml,1,2016-07-15 23:40:53.361061
ipg160202.xml,1,2016-07-15 23:41:57.831003
ipg160126.xml,1,2016-07-15 23:43:00.452129
ipg160119.xml,1,2016-07-15 23:43:38.174901
ipg160112.xml,1,2016-07-15 23:44:28.748564
ipg160105.xml,1,2016-07-15 23:45:29.728014
ipg151229.xml,1,2016-07-15 23:46:29.787433
ipg151222.xml,1,2016-07-15 23:47:05.172451
ipg151215.xml,1,2016-07-15 23:47:43.993875
ipg151208.xml,1,2016-07-15 23:48:29.329891
ipg151201.xml,1,2016-07-15 23:49:17.443415
ipg151124.xml,1,2016-07-15 23:50:04.497529
ipg151117.xml,1,2016-07-15 23:51:05.670921
ipg151110.xml,1,2016-07-15 23:52:15.412337
ipg151103.xml,1,2016-07-15 23:53:26.100800
ipg151027.xml,1,2016-07-15 23:54:19.508254
ipg151020.xml,1,2016-07-15 23:55:17.627350
ipg151013.xml,1,2016-07-15 23:56:16.325464
ipg151006.xml,1,2016-07-15 23:57:14.292316
ipg150929.xml,1,2016-07-15 23:57:58.661456
ipg150922.xml,1,2016-07-15 23:58:59.360322
ipg150915.xml,1,2016-07-16 00:00:02.844097
ipg150908.xml,1,2016-07-16 00:01:06.579695
ipg150901.xml,1,2016-07-16 00:01:59.366186
ipg150825.xml,1,2016-07-16 00:03:04.589883
ipg150818.xml,1,2016-07-16 00:04:21.223797
ipg150811.xml,1,2016-07-16 00:05:42.872286
ipg150804.xml,1,2016-07-16 00:08:04.345833
ipg150728.xml,1,2016-07-16 00:09:50.167495
ipg150721.xml,1,2016-07-16 00:11:11.920382
ipg150714.xml,1,2016-07-16 00:13:07.582508
ipg150707.xml,1,2016-07-16 00:15:12.226494
ipg150630.xml,1,2016-07-16 00:16:48.685869
ipg150623.xml,1,2016-07-16 00:17:56.291049
ipg150616.xml,1,2016-07-16 00:19:00.551415
ipg150609.xml,1,2016-07-16 00:20:44.910180
ipg150602.xml,1,2016-07-16 00:22:19.531055
ipg150526.xml,1,2016-07-16 00:23:57.565526
ipg150519.xml,1,2016-07-16 00:25:28.973334
ipg150512.xml,1,2016-07-16 00:26:52.098656
ipg150505.xml,1,2016-07-16 00:28:17.117473
ipg150428.xml,1,2016-07-16 00:29:47.288452
ipg150421.xml,1,2016-07-16 00:31:39.445160
ipg150414.xml,1,2016-07-16 00:37:34.086941
ipg150407.xml,1,2016-07-16 00:42:13.863152
ipg150331.xml,1,2016-07-16 00:44:14.362108
ipg150324.xml,1,2016-07-16 00:45:59.490058
ipg150317.xml,1,2016-07-16 00:47:44.453082
ipg150310.xml,1,2016-07-16 00:49:06.823779
ipg150303.xml,1,2016-07-16 00:50:43.430616
ipg150224.xml,1,2016-07-16 00:52:31.516326
ipg150217.xml,1,2016-07-16 00:53:50.423415
ipg150210.xml,1,2016-07-16 00:55:20.865673
ipg150203.xml,1,2016-07-16 00:57:03.713463
ipg150127.xml,1,2016-07-16 00:58:18.906746
ipg150120.xml,1,2016-07-16 00:59:06.512572
ipg150113.xml,1,2016-07-16 01:00:29.484140
ipg150106.xml,1,2016-07-16 01:02:10.696713
ipg141230.xml,1,2016-07-16 01:03:48.196712
